Feature,ElasticNet_Coef,Selected_Frequency,ISS_avg,ISS_max,FMS,FID,count_runs,RankScore
StepWidths_GR_Sym,-2.1430614568418043,1.0,43.37025577605863,60.450854992953154,-3.4558203534941896,23.620732241556784,333,2.6794871794871797
ANKLE_MinPeakIndex_JointAngles_Sym,-2.243426272075113,1.0,41.106634695299775,67.43408618350406,-2.879374047491197,23.97875901273519,368,2.641025641025641
ANKLE_JointAngles_Range_Sym,-0.760556466036479,0.995,44.137551943366404,63.615240595497305,-0.8391755410391397,24.180501101632135,383,2.605384615384615
StrideVelocities_GR_Sym,-6.054930310162262,1.0,38.443760279554866,57.77937679662454,-7.380771041084088,20.205351673806348,412,2.5384615384615383
HIP_RMS_JointAngles_Sym,-0.9990070846802624,1.0,39.49524861179358,57.51519218043667,-1.4398970626917418,23.02627960431183,410,2.448717948717949
ANKLE_RMS_JointAngles_Sym,-0.5347857603516839,0.975,42.06881977498075,61.29896790331431,-1.0367933589412672,23.827112361132105,381,2.3089743589743588
StancePhasePerc_GR_Sym,-1.6028217108017124,1.0,37.06740537789475,55.11224648647885,-3.105762106284118,22.28611977602806,391,2.282051282051282
StrideDurations_GR_Sym,-12.300150764073118,1.0,23.871804268438016,42.031718201905186,-16.1268389098054,17.09818089923828,366,2.0128205128205128
StrideLengths_GR_Sym,-5.589665354072055,1.0,30.00868118140328,47.3441583801168,-7.475195848971964,20.166244286484723,360,2.0128205128205128
StepLengths_GR_Sym,-0.2642406826174618,0.95,37.09638476679552,57.37608125842572,2.2463451089023465,24.581825980672214,304,1.9384615384615382
MG_MaxPeakIndex_EMG_Sym,-0.5609769498313585,1.0,35.060060930751014,53.19536695391432,-0.9617453950585713,24.45493142068046,391,1.935897435897436
ANKLE_MaxPeakIndex_JointAngles_Sym,0.0,0.905,42.23486283039115,61.21166521802178,0.4901236235298967,24.282907238588624,402,1.9061538461538463
VL_MaxPeakIndex_EMG_Sym,-0.19992707096731852,0.9,38.59502609150921,56.32332227081843,-0.021225388050481797,25.120939558958163,398,1.8641025641025641
TA_MaxPeakIndex_EMG_Sym,-0.2454895895629899,0.915,37.22006448818345,56.793274722145206,-0.8426722429855573,23.977262406533914,389,1.8556410256410258
HIP_MaxPeakIndex_JointAngles_Sym,-0.7553865918593196,0.995,33.525560272515115,52.53033079550316,-0.7612243453812795,23.54007362921041,385,1.848974358974359
HIP_AUC_JointAngles_Sym,-0.5646798049227256,0.99,33.82574875898824,52.31051962774389,-0.4549087677261241,23.031874125261687,349,1.8261538461538462
VL_RMS_EMG_Sym,0.9168193301002611,0.995,43.84803694044483,59.61875226547225,3.100320510387931,23.84603635244604,347,1.7720512820512822
KNEE_MaxPeakIndex_JointAngles_Sym,0.5076534650998497,0.985,40.93046724663462,60.502342776105564,0.7197598476036831,24.36977962513045,433,1.7392307692307694
ANKLE_AUC_JointAngles_Sym,0.3978970284060791,0.98,39.16905602376404,58.57057795108194,1.7634471593596572,24.43598154345407,374,1.6907692307692306
TA_RMS_EMG_Sym,2.2645763850406486,1.0,44.88022503541456,65.73974300381087,3.275134088650418,24.212834891418282,333,1.6794871794871795
HAM_MaxPeakIndex_EMG_Sym,-0.1723433841320398,0.93,36.86471932355028,57.044312535780556,-1.2474566926050557,23.924702842654956,371,1.6676923076923078
HIP_MinPeakIndex_JointAngles_Sym,0.07041526564666316,0.885,40.269323184800044,60.21512257498664,1.4155016217915914,24.288055149565928,420,1.6674358974358974
RF_MaxPeakIndex_EMG_Sym,-0.18367544565189647,0.895,35.6607601965227,56.405564044731406,-0.9090478753900442,23.9415205249455,396,1.5592307692307692
KNEE_JointAngles_Range_Sym,0.6294845761548372,0.99,37.61692342037715,58.65092251066374,-0.33301741806960194,22.68139026087822,402,1.5312820512820515
MG_RMS_EMG_Sym,11.613159183204894,1.0,61.71938196338341,84.8543691234122,9.833489311458578,20.15413132493699,323,1.5128205128205128
SwingDurations_GR_Sym,0.12029346946380344,0.86,38.72832122661042,58.416393342445936,2.8187856666055637,25.29889598708609,216,1.5020512820512821
MG_AUC_EMG_Sym,14.280237751441327,1.0,74.05128436599091,99.88523375758689,14.02664537755959,18.017406898265033,291,1.5
StepDurations_GR_Sym,-0.16956847613268083,0.885,36.356544744629204,53.36337654303284,-0.5883319751799689,24.025396868806357,364,1.487948717948718
KNEE_AUC_JointAngles_Sym,1.398390690869833,1.0,36.901478474358925,57.53418008482266,1.1643548536027026,24.40332841327329,364,1.3333333333333333
SwingPhasePerc_GR_Sym,-0.0,0.89,34.065820777330124,54.430504131136,1.6198409895399664,23.357532842295477,172,1.2864102564102564
HIP_JointAngles_Range_Sym,0.7010413646335588,1.0,34.87099086666487,55.874605961726914,-0.864543984302145,22.478143075486226,383,1.2564102564102564
TA_AUC_EMG_Sym,1.9121614764405925,1.0,36.65507660827359,54.430296195906244,-1.3380175233686344,23.65366859287286,274,1.2435897435897436
KNEE_MinPeakIndex_JointAngles_Sym,0.059482558981612754,0.9,32.738883194448036,50.452709658650534,-0.4847881922528927,25.72225502251889,367,1.1717948717948719
VL_AUC_EMG_Sym,0.23196798580376532,0.935,28.918735630969536,43.99869898998144,-4.5970346667364765,23.377346512958564,242,1.0238461538461539
RF_AUC_EMG_Sym,2.792711085322838,1.0,34.34186968356572,58.69473600131907,3.5681732383411173,22.99292020248148,250,0.9743589743589743
KNEE_RMS_JointAngles_Sym,2.856471976004268,1.0,34.848729812374835,57.81561403526217,3.8899894534435617,22.964177097507005,388,0.9615384615384615
RF_RMS_EMG_Sym,2.1799326187718853,1.0,32.439755954869305,54.018319760177604,1.665090156799181,24.48919598060162,419,0.923076923076923
HAM_AUC_EMG_Sym,6.000821698066543,1.0,29.088274869833732,53.36058827535909,6.740956346263147,23.21719200382767,341,0.6794871794871796
HAM_RMS_EMG_Sym,3.6724129201554456,1.0,21.21123646384921,40.8468833434727,-1.2258565256465204,22.017914003042147,221,0.6410256410256411
