ElasticNet_Coef,Selected_Frequency,ISS_avg,FMS,FID
30.194077193545645,1.0,,,
23.694149449937086,1.0,,,
12.123812366547197,1.0,,,
8.219272927851929,1.0,,,
6.239105865542287,1.0,,,
5.62787287326084,1.0,,,
4.465892438305614,1.0,,,
4.141391641735996,1.0,,,
3.8467524390071333,1.0,,,
2.6904131371503435,1.0,,,
1.8255609103862562,1.0,,,
1.1645666782353472,1.0,,,
-1.3807774465079317,1.0,,,
-1.4110463409055467,1.0,,,
-1.4361629352082088,1.0,,,
-1.7618653100608668,1.0,,,
-1.7895293598952704,1.0,,,
-2.3468150259128246,1.0,,,
-3.5999280450500724,1.0,,,
-4.816025927920517,1.0,,,
