Feature,ISS_avg,FID,Boruta,CFS_Score
MG_AUC_EMG_Sym,74.05128436599091,18.017406898265033,Selected,8.026442720543075
MG_RMS_EMG_Sym,61.71938196338341,20.15413132493699,Selected,3.508313912789478
TA_RMS_EMG_Sym,44.88022503541456,24.212834891418282,Selected,3.150102593294819
ANKLE_JointAngles_Range_Sym,44.137551943366404,24.180501101632135,Selected,2.668633129486166
VL_RMS_EMG_Sym,43.84803694044483,23.84603635244604,Selected,4.702432243130759
StepWidths_GR_Sym,43.37025577605863,23.620732241556784,Selected,1.7020004066442953
ANKLE_MaxPeakIndex_JointAngles_Sym,42.23486283039115,24.282907238588624,Selected,1.8100059489639875
ANKLE_RMS_JointAngles_Sym,42.06881977498075,23.827112361132105,Selected,1.8711688648723541
ANKLE_MinPeakIndex_JointAngles_Sym,41.106634695299775,23.97875901273519,Selected,0.9225989461863424
KNEE_MaxPeakIndex_JointAngles_Sym,40.93046724663462,24.36977962513045,Selected,1.3984184268303288
HIP_MinPeakIndex_JointAngles_Sym,40.269323184800044,24.288055149565928,Rejected,0.8852282341864602
HIP_RMS_JointAngles_Sym,39.49524861179358,23.02627960431183,Selected,1.0547192466825446
ANKLE_AUC_JointAngles_Sym,39.16905602376404,24.43598154345407,Rejected,0.3387305518162782
SwingDurations_GR_Sym,38.72832122661042,25.29889598708609,Selected,0.7044775798832372
VL_MaxPeakIndex_EMG_Sym,38.59502609150921,25.120939558958163,Rejected,0.5161534571694264
StrideVelocities_GR_Sym,38.443760279554866,20.205351673806348,Rejected,0.19207675254864684
KNEE_JointAngles_Range_Sym,37.61692342037715,22.68139026087822,Rejected,0.006248934042495178
TA_MaxPeakIndex_EMG_Sym,37.22006448818345,23.977262406533914,Rejected,0.39644724159536254
StepLengths_GR_Sym,37.09638476679552,24.581825980672214,Rejected,1.1739012666991318
StancePhasePerc_GR_Sym,37.06740537789475,22.28611977602806,Rejected,0.29792864583132844
KNEE_AUC_JointAngles_Sym,36.901478474358925,24.40332841327329,Rejected,0.3038491465936647
HAM_MaxPeakIndex_EMG_Sym,36.86471932355028,23.924702842654956,Rejected,1.0984881545614713
TA_AUC_EMG_Sym,36.65507660827359,23.65366859287286,Rejected,1.9191129328888679
StepDurations_GR_Sym,36.356544744629204,24.025396868806357,Tentative,1.5821838520110385
RF_MaxPeakIndex_EMG_Sym,35.6607601965227,23.9415205249455,Rejected,1.3078691693036637
MG_MaxPeakIndex_EMG_Sym,35.060060930751014,24.45493142068046,Tentative,1.431231345170466
HIP_JointAngles_Range_Sym,34.87099086666487,22.478143075486226,Rejected,0.8598957630942518
KNEE_RMS_JointAngles_Sym,34.848729812374835,22.964177097507005,Rejected,0.8907259316262627
RF_AUC_EMG_Sym,34.34186968356572,22.99292020248148,Rejected,0.023186733690877023
SwingPhasePerc_GR_Sym,34.065820777330124,23.357532842295477,Rejected,0.9036164634367521
HIP_AUC_JointAngles_Sym,33.82574875898824,23.031874125261687,Selected,1.6615929617262408
HIP_MaxPeakIndex_JointAngles_Sym,33.525560272515115,23.54007362921041,Selected,1.806869208703384
KNEE_MinPeakIndex_JointAngles_Sym,32.738883194448036,25.72225502251889,Selected,2.282300136453584
RF_RMS_EMG_Sym,32.439755954869305,24.48919598060162,Selected,1.6497001070718882
StrideLengths_GR_Sym,30.00868118140328,20.166244286484723,Selected,3.442555128218471
HAM_AUC_EMG_Sym,29.088274869833732,23.21719200382767,Selected,0.4548196235642683
VL_AUC_EMG_Sym,28.918735630969536,23.377346512958564,Selected,4.760798985164916
StrideDurations_GR_Sym,23.871804268438016,17.09818089923828,Selected,5.928500443716407
HAM_RMS_EMG_Sym,21.21123646384921,22.017914003042147,Selected,5.654012491969295
